id,valorPropiedad,direccionPropiedad,numeroHabitaciones,estrato,barrio
a740ca6f-0f36-4a8c-bfea-24060740f6a0,$814793510.73,"Carrera 5A # 6-86 Sur Local 78 666629 Guática, Risaralda",4,3,Laureles
6c555cd7-5e52-42d2-b5a4-e3fa242bd49e,$250433701.41,"Avenida calle 4ª # 33-13 688951 Piedecuesta, Santander",5,6,Itagui
af35d879-a5bf-4bf9-bbd7-1daf52f511b0,$251995216.85,"Calle 71Y # 8-18 Este 257632 Guayabetal, Cundinamarca",4,4,La Estrella
f29f60b7-a807-4d0e-a1d0-a020be696b1b,$185728010.92,"Avenida calle 187 # 8X-57 257986 Lenguazaque, Cundinamarca",2,2,Belen
7c0a5475-3e7b-448b-92d1-e26e3a9ba347,$759663121.07,"Avenida Caldas # 4-7 Este 253455 Villagómez, Cundinamarca",4,5,Caldas
15cf6f9b-ab2f-4a26-bb55-4912267fae44,$393896621.53,"Av. carrera 1ª # 7Y-89 Torre 2 apartamento 756 153669 Tuta, Boyacá",2,5,La Estrella
905d14bf-89e3-458e-994e-c0d44e198f92,$136363941.57,"Cr. 36 # 9E-1 Sur 526706 Barbacoas, Nariño",1,1,Envigado
3b83a0a4-fe74-477d-9bb5-f550ab540a67,$646073739.62,"Cl. 164 # 26-84 Apto. 72 054653 Guatapé, Antioquia",4,5,Laureles
96209595-4112-4d05-b36e-c082ac458012,$415528946.09,"Cl. 41P # 64-3 Este Apartamento 6 940330 Cacahual, Guainía",5,4,Belen
df0b5ea1-93f9-4d2b-aafe-fe41ac0875ad,$972524458.73,"Av. carrera 4ª # 4-2 Este Casa 5 154966 Guacamayas, Boyacá",1,6,Laureles
edbb1b9a-adb4-4b7e-a488-9d79a76560d4,$697624850.58,"Avenida calle 71 # 77U-32 Este Apto. 185 418506 Hobo, Huila",5,3,Itagui
2fbe2295-9c52-4ca7-843b-fb8aaf5cef08,$155974564.92,"Carrera 1V Bis K # 35-8 Etapa 9 apartamento 865 851473 San Luis de Palenque, Casanare",4,2,La Estrella
3cbad5bc-e9f4-4a98-ac2e-9725ccf8675c,$53083050.3,"Cl. 177 Bis U # 41-74 Este Etapa 6 apartamento 58 521367 Córdoba, Nariño",3,5,Envigado
efca416c-8ab0-4a22-b2c6-d33ca8283451,$532297590.87,"Calle 91 # 42W-83 Sur 254443 Guataquí, Cundinamarca",1,6,Belen
b9c751be-09d5-4733-b455-8ca1381d61bc,$849585880.76,"Calle 5ª # 22-17 Este 860824 Colón, Putumayo",5,5,Sabaneta
7e181cdc-e21d-405a-9c1d-da51f1e0ace4,$195197305.12,"Calle 102 # 5-2 Bodega 85 274711 El Cantón del San Pablo, Chocó",2,5,Poblado
d0b10c3f-890b-45a1-b141-52d1a275e11d,$618997355.24,"Cr. 4Y # 34-41 154990 La Capilla, Boyacá",4,1,Laureles
60d1c978-689a-4dae-936d-5832b3d700a7,$932643685.45,"Cr. 113O # 49Z-7 134034 Arjona, Bolívar",3,2,Poblado
34a121f2-4528-4c62-bfbe-82f9d1f881cd,$278828012.82,"Av. calle 27 # 74-5 Este Torre 3 apartamento 5 972499 Papunahua, Vaupés",5,1,Laureles
f88296c8-7c1c-4068-a1fc-62d5ff918fbb,$745312215.1,"Tr. 1ª # 14V-39 Sur 945940 Pana Pana, Guainía",1,5,Envigado
834b5a34-1930-4056-8fdd-240f9477ddaf,$171971891.27,"Calle 62 # 57-7 Este Bodega 57 857565 Orocué, Casanare",4,5,Envigado
04e9e2a2-a66f-4b7b-8911-de6c7c6aba93,$301803797.49,"Calle 159 # 47-50 Este 058087 Olaya, Antioquia",5,4,Sabaneta
defc421b-91e4-455b-86cd-566ca454c66a,$932467818.35,"Calle 171 Sur # 52-97 Este Etapa 8 apartamento 8 152480 Puerto Boyacá, Boyacá",2,6,Belen
78596c36-6b80-4405-a3e8-befd350079af,$429042685.0,"Calle 7C Bis # 5-18 Sur Oficina 838 256398 Topaipí, Cundinamarca",3,4,La Estrella
bd1fe188-5d55-4f9f-8854-9636ff28d8f3,$164953986.07,"Av. calle 133 # 73-1 Sur 418867 Campoalegre, Huila",2,1,Itagui
c71376b9-14a5-4dd5-b147-184b893f6371,$69982547.01,"Avenida Luis Edward Rodríguez Sánchez # 8E-51 Sur Oficina 70 738951 Chaparral, Tolima",5,2,Sabaneta
509f4bd1-c302-4317-a722-4bf114996750,$56831297.04,"Av. Caldas # 21-8 Apto. 658 549134 Teorama, Norte de Santander",1,2,Laureles
d47c07d6-ee6e-4d04-9a4e-bbf4f78619cf,$910149012.36,"Cr. 122 # 7-4 Sur 416238 Elías, Huila",3,1,Sabaneta
8fd6bb90-aff9-4fb2-8a1e-afc005c14fd8,$314553400.77,"Cl. 194 # 86-54 154821 Somondoco, Boyacá",4,2,Envigado
051c0adb-c2e5-4415-b584-0c6a39da0c57,$737184937.59,"Av. Fernando Ospina Duque # 80-59 549440 Chitagá, Norte de Santander",5,5,La Estrella
ea38d8c6-0c1b-4024-9668-07dea8671227,$280847380.28,"Calle 64 # 32-93 Sur Torre 4 apartamento 5 524709 Belén, Nariño",4,4,Sabaneta
6877d0c0-048a-4c05-ac19-ada296739cfc,$139609506.67,"Av. carrera 185 # 7-1 Sur 881236 Providencia, Archipiélago de San Andrés, Providencia y Santa Catalina",4,3,Caldas
be85fcbf-8058-4d34-abd8-7e4e0b635e17,$440547162.25,"Avenida Pijiño del Carmen # 81H-5 Este Apto. 845 913709 Tarapacá, Amazonas",1,6,Laureles
2365c7a6-c8be-4824-8a2c-679e409e17ad,$107582040.37,"Avenida San José de Pare # 9-75 Este 667113 Guática, Risaralda",3,1,Sabaneta
3fcb7eef-a276-4785-b98c-2f9781f4c905,$232010568.53,"Av. carrera 25 # 18L-75 Sur Oficina 294 155377 Viracachá, Boyacá",5,4,Envigado
325caa8d-6be8-42da-99d6-d512edcac10c,$450787557.84,"Cl. 193Y Este # 6H-3 Este Apto. 8 190532 Puerto Tejada, Cauca",3,4,Sabaneta
a581c864-2e53-4487-a777-41f7efa642c4,$880761656.37,"Calle 1I # 7-9 Etapa 3 apartamento 32 052053 Amalfi, Antioquia",1,4,Laureles
a2282e0b-3cf7-4d87-87e3-b7ceff1fe92d,$98058913.05,"Transversal 184V # 10-8 Sur 088390 Juan de Acosta, Atlántico",5,1,Laureles
ebe6a7fc-3a72-432d-809e-c456670cddd1,$930048633.86,"Cr. 68 # 9-59 Sur 689212 El Playón, Santander",2,2,Caldas
96dea684-f634-414e-8b43-fe93bc8af893,$511359069.18,"Avenida calle 76 # 65-56 Sur 767365 Roldanillo, Valle del Cauca",2,4,Poblado
6fc452f2-b373-4ad1-a6c8-3ecc31036786,$206405265.33,"Carrera 116 Bis # 1-56 Este Bodega 2 156152 Tuta, Boyacá",1,4,Belen
564a3582-d05b-4ca8-bc44-8cfdfed629ed,$930192169.88,"Cr. 49 # 9R-1 Este 413158 Villavieja, Huila",4,3,Caldas
712a10e6-0e6c-4eab-9ac1-b1048ecf6409,$711761928.42,"Cr. 1ª # 9-4 Sur Apartamento 345 252296 Suesca, Cundinamarca",5,6,La Estrella
a6cc0dda-006c-40ab-bfd0-fccae2173ecf,$197056984.01,"Cr. 20 # 8-86 Sur 689910 Cerrito, Santander",3,2,Poblado
0d0b23fd-acc0-4e5a-9e38-cc7da1da30f6,$600221276.28,"Cl. 1ª # 5-4 259784 Topaipí, Cundinamarca",5,1,Itagui
c9931684-9056-4c13-944c-ff4514c089d8,$104307009.26,"Diagonal 2 Bis # 7-10 Sur Etapa 6 apartamento 26 252683 Paime, Cundinamarca",5,4,Envigado
4e68d6e9-84be-4217-b948-1ff8d9b40797,$104035600.74,"Cr. 151 # 41-7 Este 130529 Córdoba, Bolívar",5,1,Envigado
c1321940-2588-488a-877f-26592afd729f,$115095266.07,"Calle 35 Bis # 5-42 632181 Buenavista, Quindío",1,6,Sabaneta
27998a57-6eb7-4657-bffa-6e3b1ca96152,$433586773.75,"Cr. 149 # 9-2 Sur 155271 Tutazá, Boyacá",5,2,Poblado
3c097dcc-c2c8-4700-b9f8-94cc6068d806,$638412434.82,"Carrera 80 # 63S-8 Este Bodega 14 701998 Morroa, Sucre",4,6,Itagui
c384325f-d38d-4e5a-9eb2-e6a85fa0e08a,$937970944.85,"Cr. 55 Bis # 1-65 Apartamento 81 150377 Tópaga, Boyacá",2,6,Itagui
3fa41ad6-d888-4675-9c55-c6180751c6bc,$276751654.99,"Av. calle 5ª # 26W-52 Este Apto. 949 475192 Remolino, Magdalena",4,2,Belen
a9e2dd5e-4482-41f5-b946-c0aa4cab50bb,$484363343.94,"Av. carrera 85 # 3-3 520542 Santa Bárbara, Nariño",1,1,La Estrella
add9ee22-500f-4a95-ada0-c5f2031b4a4a,$640101292.72,"Cr. 39 # 60-46 Sur Apto. 99 419622 Acevedo, Huila",5,1,Laureles
17e07209-60d4-4a37-8a8a-bf6d7d411f6f,$560752683.9,"Cr. 33Q Bis F # 6B-97 Bodega 47 275977 Carmen del Darién, Chocó",5,3,Envigado
62b6ca74-83b5-4929-969c-dc29f373d85e,$936596409.09,"Transversal 8ª # 1A-76 Este 857826 Chámeza, Casanare",1,2,Itagui
5669d210-2f6f-491b-9fa6-a9f86e09c59b,$320738021.66,"Transversal 8ª # 82-17 521522 Samaniego, Nariño",4,5,Belen
2576a3bd-4377-476d-b3ab-31e2932b6ec9,$631093877.44,"Cr. 81C # 90-4 Este 051036 Concepción, Antioquia",5,1,Belen
daacc2f6-77a8-46b2-ae88-5c81173a7e89,$935168237.46,"Cr. 167 Sur # 7-6 Sur Etapa 7 apartamento 132 158518 Sora, Boyacá",1,2,Belen
e3d40171-22a3-44fc-8a8c-b58a872ea83b,$159657236.9,"Cr. 87 # 82-11 Sur 052058 Carolina, Antioquia",1,6,Envigado
1d97446d-6821-4989-b593-8c13df8e3934,$308730801.7,"Calle 6L Sur # 7-75 Este 208740 El Copey, Cesar",5,2,Itagui
e777c34d-7a05-4dfb-8c1a-ad5f3889449c,$243417446.71,"Cr. 3ª # 25-2 Sur 688416 Oiba, Santander",3,5,La Estrella
4446fe57-6fa5-4d30-8ed8-99301d2c6e9a,$288565189.47,"Tr. 20 # 96-35 410596 Acevedo, Huila",1,1,Caldas
6ea4bd83-f016-4386-9625-c7fab4383608,$837880684.9,"Calle 8ª # 27L-3 Este Bodega 1 155569 Sogamoso, Boyacá",1,1,Itagui
9c0f6a40-0055-44fb-9e95-d52a9c1621d9,$782563261.87,"Av. calle 2ª # 8-44 Este Oficina 63 522786 Magüí, Nariño",3,2,La Estrella
a1bd61d7-b52f-4084-940b-a2440d535d29,$574096400.07,"Avenida calle 6ª # 91-58 Sur Bodega 4 277271 Cértegui, Chocó",4,5,Poblado
56a418f5-a47a-4990-a2dc-9eeee03d3f47,$156280186.56,"Carrera 6ª # 38-2 Casa 6 173237 Belalcázar, Caldas",2,5,Poblado
971316bc-59a1-4b1d-bb33-3b53974c8d86,$842865268.89,"Cl. 189Y # 3-7 Este Oficina 86 415177 Suaza, Huila",5,5,Envigado
7449d7da-327c-4456-9a38-f06ad7b9d0bd,$458297377.24,"Avenida Caldas # 5-38 Este Apto. 92 055358 Uramita, Antioquia",1,3,Itagui
419b6866-8d28-45ed-983a-a3d2f606a257,$904032414.31,"Dg. 2ª # 5-4 Este Apto. 9 419959 La Argentina, Huila",1,3,Sabaneta
71c6a17f-904b-4962-b25e-87f180dff2b3,$697963353.9,"Carrera 47 # 6-62 Este 684710 Bolívar, Santander",1,3,Caldas
6c6af6fd-ae3b-43ba-b9bc-7556ac3e55d8,$975145171.51,"Calle 104 # 46T-3 Sur 503714 Puerto Lleras, Meta",2,2,Envigado
2dcd3379-40b1-4016-ae37-258e6c37b3cb,$977395731.28,"Av. carrera 139 # 5-80 Este Torre 3 apartamento 877 411687 Yaguará, Huila",2,4,Poblado
6b5afbca-219d-414c-9ad7-703a6b870eac,$220392630.25,"Carrera 135 # 71-9 Sur 735650 Armero, Tolima",3,4,Sabaneta
f7c3ebf2-94b3-45c6-8037-48cbae3c8667,$303465424.11,"Carrera 1B # 6-8 Este 258523 Zipacón, Cundinamarca",1,4,Poblado
60a6aff7-6587-45f9-ba7d-f1a18cb66878,$865663588.77,"Av. Risaralda # 98-9 Sur 709526 Colosó, Sucre",2,2,La Estrella
2a9ccb8f-18c0-4b88-b17c-f621630c96b7,$382175503.22,"Tr. 199 # 8-30 Este 419409 Elías, Huila",2,2,Poblado
c292d982-d84e-42bf-bdb5-dfea51acb3c8,$677031523.61,"Carrera 136 # 89-1 Este Casa 4 523075 Yacuanquer, Nariño",4,3,Belen
88cdd570-824a-4142-97a3-235935fc8254,$871135294.93,"Cr. 84 # 4-5 Este Torre 9 apartamento 685 157858 Santana, Boyacá",3,3,Caldas
d0fda95e-107e-4846-b9ed-569126be1ede,$695542212.44,"Cr. 76 # 3Y-5 415844 Campoalegre, Huila",5,3,Poblado
6aeee262-ba2e-4abf-a08d-5a52418a55c2,$159574664.26,"Cr. 49 # 4-48 Apto. 643 278484 Juradó, Chocó",3,2,Belen
b244e96e-d9df-487b-a617-f7ed49a8d7ae,$86344337.49,"Calle 145 # 2-40 Este Oficina 61 158267 Buenavista, Boyacá",5,4,Itagui
e45ad672-44b8-4f16-afdd-637ef3a57090,$742117807.62,"Avenida Milena Agudelo # 84K-9 Este Casa 7 056724 Peñol, Antioquia",3,4,Laureles
c2488efc-35ec-4c58-b4fe-52e96db346fe,$415935661.68,"Cr. 55A # 33-7 Sur Casa 94 761527 Buenaventura, Valle del Cauca",5,2,Belen
8d429acf-051e-4e18-9790-a824eeff5386,$92167207.03,"Cl. 64 # 1-59 Este Local 21 857530 Aguazul, Casanare",4,1,Sabaneta
f10dcfaf-76a5-4afb-b855-173a8d2dbca4,$396010398.19,"Cl. 82 # 6-7 Este 528414 Funes, Nariño",1,6,Itagui
94f3981b-52be-4ac2-a211-d6ea472b8615,$641997639.45,"Calle 9K # 83-2 Este Torre 4 apartamento 281 730883 Ataco, Tolima",1,6,Belen
0aaed1b6-70ee-4c06-b3d8-724641223ec8,$531766378.83,"Diagonal 23 # 6-2 Este Apartamento 87 688740 San Andrés, Santander",4,3,Caldas
c2778875-6a15-415f-9f66-168e8ece2e80,$712347993.48,"Transversal 166 # 9-3 Este Apto. 86 052656 Yondó, Antioquia",5,2,Sabaneta
6921d460-93a6-4625-941b-7bd1cd8f1fb8,$449424017.08,"Carrera 46R # 3-55 Apto. 38 500047 San Juanito, Meta",4,6,Envigado
fec2e3b7-f871-4c75-a3e4-2015027ee954,$634739170.15,"Cr. 103 # 46-97 Apartamento 7 151190 Gachantivá, Boyacá",3,4,Poblado
975de187-381a-44d5-af67-8e47f140e337,$338681201.8,"Calle 48 # 14-9 Este 059953 Valdivia, Antioquia",2,4,Itagui
8ef1fbf2-52cf-4002-8905-7a824f858b5b,$491738780.73,"Cr. 47 # 3J-8 186624 Solano, Caquetá",4,6,Sabaneta
4ea3efab-db05-4304-ab3e-5853165003dd,$535615297.03,Avenida carrera 2ª # 13-5 Sur 683517 Bucaramanga,2,6,Laureles
1a2eda20-f3e6-49e7-be4b-a0737ea8ccf5,$319597084.74,"Av. carrera 117 # 49W-7 054033 Puerto Nare, Antioquia",5,3,Laureles
8b971528-c2b3-43d7-b971-1117b8383ddc,$827502291.31,"Av. calle 6ª # 4-30 477175 Aracataca, Magdalena",2,6,Belen
84c02907-52f7-4243-90ef-a678d05bd8e0,$263408632.7,"Cr. 154 # 87-37 Este 253693 San Antonio del Tequendama, Cundinamarca",2,2,Poblado
40f27207-3b1b-4bb9-9f66-490ef48b19c3,$93903032.19,"Carrera 31U Este # 9-8 Sur Casa 32 528010 Belén, Nariño",4,5,Laureles
3f8439c9-de5b-47f8-be5f-c581963ac8e7,$482645359.96,"Cl. 22 Bis Z # 42Q-4 Este 050084 Yondó, Antioquia",5,2,Caldas
ae6af41f-fe87-45f1-987e-590c1b6c181f,$519658310.56,"Diagonal 101U # 96-8 869334 Puerto Guzmán, Putumayo",2,2,Poblado
911a20db-97d0-432d-b1b9-085ccc04cc0d,$898026834.9,"Transversal 89 # 5-91 Este 059180 Betania, Antioquia",1,4,Sabaneta
d7049b8a-b914-4db7-8be6-ec5eb665c2ea,$217092347.62,"Carrera 79 # 78-35 Este Casa 6 059261 Maceo, Antioquia",5,4,Poblado
6286cfe7-8ad8-4574-baeb-041b86900d3b,$579535504.33,"Cr. 50 # 47-67 Este Local 13 135999 Clemencia, Bolívar",1,4,Envigado
d5e444fd-3360-4b8f-853f-b389eeece3c3,$811345771.64,"Cr. 165X # 1-51 Sur Oficina 313 521426 San Lorenzo, Nariño",5,5,Itagui
cc4973f2-e3d3-4a73-bb40-a14937d456ac,$952537628.02,"Calle 158 # 6-7 527888 Guachucal, Nariño",4,5,Caldas
08675597-c25a-4604-a297-7d4f57393e84,$839040711.24,"Carrera 31 # 56-8 Oficina 7 276224 Río Quito, Chocó",5,4,Envigado
61b42c40-dee2-4968-ae2a-c1a2804887f0,$756472670.05,"Avenida carrera 7ª # 8K-6 Sur Etapa 4 apartamento 81 524065 Gualmatán, Nariño",4,4,Belen
36b10945-ee8f-4f51-bc84-65158f944ee8,$764187947.18,"Cl. 119I Bis L # 9-3 Este 155479 San Luis de Gaceno, Boyacá",3,5,La Estrella
8e1607dd-2856-4e62-895a-c62285ea4126,$645411015.13,"Calle 76 # 8-7 Este 057243 Guatapé, Antioquia",3,4,Laureles
6e03cdbe-905e-49f8-9036-17f4bbc5f881,$727867619.48,"Calle 66U # 21N-50 Oficina 98 761352 Sevilla, Valle del Cauca",2,3,Itagui
eefa4d96-1496-4b1f-b85a-de3e4a15b6da,$353724090.0,"Tr. 112 # 8-45 Este 760714 Yumbo, Valle del Cauca",5,1,Envigado
87076813-8dee-4202-ab83-cb1fb0e6265f,$193289125.11,"Cl. 2ª # 92-33 Este 731401 Piedras, Tolima",4,6,Envigado
454de7b7-4f46-4e66-8a45-be6df1b9ef20,$721098184.61,"Cr. 4ª # 76-1 Este 172266 Manzanares, Caldas",1,4,Caldas
dc99a455-613a-4cc1-b4ea-e15e7619b772,$364337321.49,"Dg. 68 # 79-2 Sur 235371 Los Córdobas, Córdoba",4,4,Poblado
5f1501f8-17c7-4117-bae4-fb7dc1623607,$246492670.04,"Cl. 92 # 3-79 Sur Bodega 39 525134 Barbacoas, Nariño",4,4,Poblado
00edbc97-3e5d-47eb-b482-d54f348629b9,$863895430.69,"Avenida carrera 1ª # 3A-47 Sur 194225 Mercaderes, Cauca",5,4,La Estrella
d4dcc4ce-808a-4db7-8558-b6611c2d5a30,$55601279.4,"Cl. 58 # 8-8 Este Bodega 767 761903 Roldanillo, Valle del Cauca",3,3,Caldas
6c7378a8-c2e3-4be6-8fd2-87a5cf895c6c,$860775553.04,"Diagonal 53 # 5B-67 Apto. 288 767836 Zarzal, Valle del Cauca",4,5,Sabaneta
e5aafdf1-f82c-46a4-b7d0-589e0160151a,$513818003.67,"Avenida calle 1ª # 58-9 682923 Ocamonte, Santander",3,4,La Estrella
f79c7578-b26c-42f4-a75a-8789578d5cd7,$77573578.95,"Cr. 73 # 59-7 Sur 470422 Ciénaga, Magdalena",3,6,Caldas
5b52678c-ff8a-41de-8ca3-dd5f7c040b2b,$737972308.75,"Avenida carrera 117 # 95-71 687590 Suratá, Santander",4,2,Poblado
f99b10fd-5a75-4028-8e82-4311762c612b,$911582419.46,"Cr. 8ª # 3-8 Sur Torre 8 apartamento 548 689750 Gámbita, Santander",5,5,Poblado
0293f0ab-c819-4e1e-a03a-9575cb9134f0,$129750089.05,"Transversal 12 # 4-74 Este 051541 Abejorral, Antioquia",4,2,La Estrella
0df9fc9e-fbed-4551-aa73-9db41290689a,$222642575.19,"Cr. 2ª # 22N-47 Sur Apto. 11 139387 Santa Rosa del Sur, Bolívar",3,4,Itagui
c49d3626-b2c4-430b-96f1-232b25643ed3,$251077270.0,"Cr. 8F # 3-73 Este 132218 San Martín de Loba, Bolívar",3,3,Caldas
7897aae5-be0f-4f4e-b6e7-b2a08304df9e,$314343784.86,"Cr. 93 # 19-54 685652 Pinchote, Santander",4,3,Laureles
5649dca3-592a-4420-9f36-3fffbb8e05ab,$496791494.4,"Calle 65A # 7-6 Este 856137 Monterrey, Casanare",5,1,Itagui
677baeb7-0cec-4eda-8542-e47c9af919e6,$263011057.43,"Av. carrera 7ª # 78-7 Este Bodega 2 184300 Milán, Caquetá",1,6,Poblado
a037615c-0847-42fb-bd65-926f5301b5dd,$766521543.86,"Cl. 74 Sur # 43-20 Sur 631832 Córdoba, Quindío",2,2,Poblado
b63cdf40-8f0d-4ce8-9581-1ef36ad5fffd,$640268873.76,"Av. carrera 98 # 64-32 Este Bodega 12 152027 Güicán de la Sierra, Boyacá",2,2,La Estrella
05f72cdb-393b-4773-b0a8-ab4322c15933,$685985902.39,"Cl. 179 # 3-5 Apto. 168 254917 Sutatausa, Cundinamarca",5,2,La Estrella
82beeb46-8e19-4670-8f4b-ae2014ef3a81,$714491722.68,"Av. calle 12 # 46-6 Torre 9 apartamento 1 150756 Guayatá, Boyacá",3,2,Laureles
2d2ae9d8-c412-48ce-9ced-81df03668cd1,$788902291.87,"Av. carrera 81 # 6Y-24 Este Local 51 682380 Betulia, Santander",2,3,Laureles
ab495000-2dff-4cd2-a01b-eda8152e7509,$599750495.88,"Carrera 4Y # 38-13 Sur 709375 Colosó, Sucre",3,5,Caldas
ce932d25-086a-4012-a9fa-e2b25eeb8e3e,$426821719.44,"Av. Cerrito # 30-5 054138 Frontino, Antioquia",2,1,Sabaneta
c4e1f240-4f4c-4f9a-a541-1d9b3173870a,$146806240.17,"Calle 3V # 6-74 Este Torre 9 apartamento 77 058261 San Carlos, Antioquia",3,6,Laureles
4dd1e49f-7663-433c-95bc-893954ae5848,$806415855.77,"Carrera 75 # 6-4 Sur Local 83 472912 Guamal, Magdalena",5,1,Itagui
de0730be-cfc4-4615-8789-b9b3dd348fec,$556107983.04,"Avenida calle 152 # 4-6 Sur Bodega 5 414903 San Agustín, Huila",3,1,Itagui
48800d81-a301-4be6-979a-50b40a0c71f3,$62019542.66,"Calle 3ª # 1-4 817883 Puerto Rondón, Arauca",4,4,Laureles
366d884b-759f-4ee6-a611-2be95977f604,$461847231.26,"Diagonal 6ª # 8-1 Oficina 61 201372 Agustín Codazzi, Cesar",3,6,La Estrella
ea309bb2-8252-4fdb-944f-bb333631dab3,$721943211.52,"Dg. 40 # 97-86 Oficina 86 685324 Jesús María, Santander",4,2,Belen
2c0fd0af-aafb-449a-9249-429bae41d75b,$635116736.35,"Cl. 164S Bis # 6-4 Etapa 7 apartamento 33 136578 San Jacinto, Bolívar",5,4,La Estrella
70c7302c-c9ec-4ee3-94b5-34aa44f758b4,$463795768.35,"Cr. 73 Sur # 3-42 Este Apartamento 89 271334 Acandí, Chocó",5,3,Itagui
fa05031f-d99b-4365-bc72-f3238d998c1e,$859127502.02,"Calle 139 # 8-18 Sur Local 19 447842 Manaure, La Guajira",1,3,La Estrella
8012c5c0-18ce-4f23-b237-76df309df60a,$281670267.23,"Calle 185D # 26L-69 Sur 200029 El Copey, Cesar",4,5,Caldas
6b2df140-aba6-4499-b2df-53c903974ff6,$369576788.9,"Carrera 72 # 3-34 Este 472895 Cerro de San Antonio, Magdalena",4,3,Envigado
6b16e632-7b00-4bae-b76d-ab81f7fec7a9,$513172435.77,"Calle 65 # 2-6 Sur Oficina 19 059172 Alejandría, Antioquia",3,3,Itagui
31622290-cf4f-47de-8d54-80830e94a348,$315675563.64,"Tr. 176N # 2-86 Este Etapa 4 apartamento 44 050067 Buriticá, Antioquia",5,6,Belen
a69b59bd-b2a0-44a2-9083-56562a6d5075,$578001476.52,"Av. carrera 61 # 7-3 Este Casa 8 254054 Anolaima, Cundinamarca",5,2,Laureles
492dccd6-3c08-4914-9d56-587ccfb14204,$279288247.85,"Calle 98 # 5-44 132015 Arjona, Bolívar",4,4,Sabaneta
84d6269c-5ef2-43aa-bac6-46f7c01c80d0,$706078872.47,"Avenida calle 89 # 1-4 050614 Santa Rosa de Osos, Antioquia",4,4,Poblado
ca657173-0332-489a-983f-09ac7b7ee703,$138400683.03,"Cl. 66 # 1-5 Sur 277418 Río Quito, Chocó",2,4,Sabaneta
